cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi,erro
01310-100,Avenida Paulista,de 612 a 1510 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107,
20040-007,Avenida Rio Branco,de 163 a 185 - lado ímpar,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001,
,,,,,,,,,,,,,true
80020-110,Rua do Rosário,,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535,
90020-025,Avenida Borges de Medeiros,de 0681 a 1261 - lado ímpar,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801,
70070-500,Praça do Buriti,,,Zona Cívico-Administrativa,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701,
,,,,,,,,,,,,,true
20030-070,Avenida Calógeras,,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001,
66093-005,Avenida Rômulo Maiorana,até 638/639,,Marco,Belém,PA,Pará,Norte,1501402,,91,0427,
,,,,,,,,,,,,,true
29010-360,Avenida Princesa Isabel,até 320 - lado par,,Centro,Vitória,ES,Espírito Santo,Sudeste,3205309,,27,5705,
,,,,,,,,,,,,,true
,,,,,,,,,,,,,true
69900-080,Rua Plácido de Castro,,,Centro,Rio Branco,AC,Acre,Norte,1200401,,68,0139,
,,,,,,,,,,,,,true
60060-110,Vila Ernestina,,,Centro,Fortaleza,CE,Ceará,Nordeste,2304400,,85,1389,
88010-000,Rua Felipe Schmidt,até 348/349,,Centro,Florianópolis,SC,Santa Catarina,Sul,4205407,,48,8105,
13010-100,Praça Rodrigo Octávio,,,Centro,Campinas,SP,São Paulo,Sudeste,3509502,2446,19,6291,
01310-200,Avenida Paulista,de 1512 a 2132 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107,
,,,,,,,,,,,,,true
30130-010,Praça Sete de Setembro,,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123,
80010-050,Rua Emiliano Perneta,até 370/371,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535,
90020-130,Praça Conde de Porto Alegre,,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801,
,,,,,,,,,,,,,true
,,,,,,,,,,,,,true
20050-030,Rua Gonçalves Dias,,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001,
66093-105,Vila Martins,(Da Av Dq de Caxias),,Marco,Belém,PA,Pará,Norte,1501402,,91,0427,
,,,,,,,,,,,,,true
29010-460,Rua Dionísio Rosendo 1,,,Centro,Vitória,ES,Espírito Santo,Sudeste,3205309,,27,5705,
,,,,,,,,,,,,,true
,,,,,,,,,,,,,true
69900-180,Rua Minas Gerais,de 1009 ao fim - lado ímpar,,Preventório,Rio Branco,AC,Acre,Norte,1200401,,68,0139,
,,,,,,,,,,,,,true
